ocean_code;species_code;species_fao_code;ld1_class;lf_class;ratio
1;3;BET;39.5;138;8
1;3;BET;39.5;140;4
1;3;BET;39.5;142;1
1;3;BET;40.0;124;1
1;3;BET;40.0;126;3
1;3;BET;40.0;128;7
1;3;BET;40.0;130;11
1;3;BET;40.0;132;16
1;3;BET;40.0;134;19
1;3;BET;40.0;136;17
1;3;BET;40.0;138;13
1;3;BET;40.0;140;8
1;3;BET;40.0;142;4
1;3;BET;40.0;144;1
1;3;BET;40.5;126;1
1;3;BET;40.5;128;4
1;3;BET;40.5;130;7
1;3;BET;40.5;132;11
1;3;BET;40.5;134;16
1;3;BET;40.5;136;17
1;3;BET;40.5;138;17
1;3;BET;40.5;140;13
1;3;BET;40.5;142;8
1;3;BET;40.5;144;5
1;3;BET;40.5;146;1
1;3;BET;41.0;128;1
1;3;BET;41.0;130;4
1;3;BET;41.0;132;7
1;3;BET;41.0;134;12
1;3;BET;41.0;136;16
1;3;BET;41.0;138;17
1;3;BET;41.0;140;16
1;3;BET;41.0;142;13
1;3;BET;41.0;144;8
1;3;BET;41.0;146;5
1;3;BET;41.0;148;1
1;3;BET;41.5;130;1
1;3;BET;41.5;132;4
1;3;BET;41.5;134;7
1;3;BET;41.5;136;12
1;3;BET;41.5;138;15
1;3;BET;41.5;140;17
1;3;BET;41.5;142;16
1;3;BET;41.5;144;13
1;3;BET;41.5;146;9
1;3;BET;41.5;148;5
1;3;BET;41.5;150;1
1;3;BET;42.0;132;1
1;3;BET;42.0;134;4
1;3;BET;42.0;136;7
1;3;BET;42.0;138;12
1;3;BET;42.0;140;15
1;3;BET;42.0;142;17
1;3;BET;42.0;144;16
1;3;BET;42.0;146;13
1;3;BET;42.0;148;9
1;3;BET;42.0;150;5
1;3;BET;42.0;152;1
1;3;BET;42.5;134;1
1;3;BET;42.5;136;4
1;3;BET;42.5;138;7
1;3;BET;42.5;140;12
1;3;BET;42.5;142;15
1;3;BET;42.5;144;17
1;3;BET;42.5;146;16
1;3;BET;42.5;148;13
1;3;BET;42.5;150;9
1;3;BET;42.5;152;5
1;3;BET;42.5;154;1
1;3;BET;43.0;136;1
1;3;BET;43.0;138;4
1;3;BET;43.0;140;7
1;3;BET;43.0;142;11
1;3;BET;43.0;144;15
1;3;BET;43.0;146;18
1;3;BET;43.0;148;16
1;3;BET;43.0;150;13
1;3;BET;43.0;152;9
1;3;BET;43.0;154;5
1;3;BET;43.0;156;1
1;3;BET;43.5;138;1
1;3;BET;43.5;140;4
1;3;BET;43.5;142;7
1;3;BET;43.5;144;11
1;3;BET;43.5;146;15
1;3;BET;43.5;148;17
1;3;BET;43.5;150;16
1;3;BET;43.5;152;13
1;3;BET;43.5;154;9
1;3;BET;43.5;156;5
1;3;BET;43.5;158;2
1;3;BET;44.0;140;1
1;3;BET;44.0;142;4
1;3;BET;44.0;144;8
1;3;BET;44.0;146;11
1;3;BET;44.0;148;15
1;3;BET;44.0;150;16
1;3;BET;44.0;152;16
1;3;BET;44.0;154;13
1;3;BET;44.0;156;9
1;3;BET;44.0;158;5
1;3;BET;44.0;160;2
1;3;BET;44.5;142;1
1;3;BET;44.5;144;4
1;3;BET;44.5;146;8
1;3;BET;44.5;148;11
1;3;BET;44.5;150;15
1;3;BET;44.5;152;16
1;3;BET;44.5;154;16
1;3;BET;44.5;156;13
1;3;BET;44.5;158;9
1;3;BET;44.5;160;5
1;3;BET;44.5;162;2
1;3;BET;45.0;144;1
1;3;BET;45.0;146;4
1;3;BET;45.0;148;8
1;3;BET;45.0;150;11
1;3;BET;45.0;152;15
1;3;BET;45.0;154;16
1;3;BET;45.0;156;15
